cik,company_name,form_type,date_filed,edgar_url
1086139,MDU COMMUNICATIONS INTERNATIONAL INC,10-K,2011-12-23,edgar/data/1086139/0001144204-11-071336.txt
1087216,Access Plans Inc,10-K,2011-12-22,edgar/data/1087216/0000950123-11-103883.txt
1088005,NextMart Inc.,NT 10-K,2011-12-29,edgar/data/1088005/0001020229-11-000137.txt
1088213,"Nano Mask, Inc.",10-K,2011-12-29,edgar/data/1088213/0001179350-11-000103.txt
1088312,UNI CORE HOLDINGS CORP,10-K/A,2011-10-17,edgar/data/1088312/0001144204-11-057981.txt
1088312,UNI CORE HOLDINGS CORP,10-K,2011-10-13,edgar/data/1088312/0001144204-11-057652.txt
1088787,"China Direct Industries, Inc.",10-K,2011-12-23,edgar/data/1088787/0001448788-11-000247.txt
1089319,"FREESTONE RESOURCES, INC.",10-K/A,2011-10-04,edgar/data/1089319/0001121781-11-000288.txt
1089815,US NEUROSURGICAL INC,10-K/A,2011-11-08,edgar/data/1089815/0001140361-11-052130.txt
1090514,AMERICAN ORIENTAL BIOENGINEERING INC,10-K/A,2011-11-14,edgar/data/1090514/0001019687-11-003547.txt
1090872,AGILENT TECHNOLOGIES INC,10-K,2011-12-16,edgar/data/1090872/0001047469-11-010124.txt
1091491,HCSB FINANCIAL CORP,10-K/A,2011-11-07,edgar/data/1091491/0001104659-11-061643.txt
1091566,CYIOS CORP,10-K/A,2011-10-05,edgar/data/1091566/0001091566-11-000047.txt
1091566,CYIOS CORP,10-K/A,2011-10-25,edgar/data/1091566/0001091566-11-000051.txt
109177,HARBINGER GROUP INC.,10-K,2011-12-14,edgar/data/109177/0000950123-11-102954.txt
1093430,CASPIAN SERVICES INC,NT 10-K,2011-12-29,edgar/data/1093430/0001038838-11-000398.txt
1093677,"WORLDSTAR ENERGY, CORP.",10-K,2011-10-03,edgar/data/1093677/0001062993-11-003993.txt
1094038,TAPIMMUNE INC,10-K/A,2011-10-14,edgar/data/1094038/0001424884-11-000143.txt
1095133,ISA INTERNATIONALE INC,NT 10-K,2011-12-29,edgar/data/1095133/0001095133-11-000032.txt
1095277,INTERSECTIONS INC,10-K/A,2011-11-18,edgar/data/1095277/0001193125-11-317312.txt
1096275,"Franchise Holdings International, Inc.",10-K,2011-12-20,edgar/data/1096275/0001354488-11-005076.txt
1096555,"Myriad Interactive Media, Inc.",10-K,2011-10-26,edgar/data/1096555/0001255294-11-000650.txt
1096613,FIRST TRANSACTION MANAGEMENT INC,10-K/A,2011-10-19,edgar/data/1096613/0001144204-11-058474.txt
1096752,ENERGIZER HOLDINGS INC,10-K,2011-11-22,edgar/data/1096752/0001096752-11-000063.txt
1096759,NT MINING Corp,10-K,2011-12-06,edgar/data/1096759/0001096759-11-000006.txt
1096788,KNOLOGY INC,10-K/A,2011-10-26,edgar/data/1096788/0001193125-11-281486.txt
1097718,ICEWEB INC,10-K,2011-12-29,edgar/data/1097718/0001144204-11-072207.txt
1097792,MEDIANET GROUP TECHNOLOGIES INC,NT 10-K,2011-12-28,edgar/data/1097792/0001144204-11-071861.txt
1099369,DESTINY MEDIA TECHNOLOGIES INC,10-K,2011-11-29,edgar/data/1099369/0001062993-11-004719.txt
1099728,"Sibling Entertainment Group Holdings, Inc.",10-K,2011-10-14,edgar/data/1099728/0001437749-11-007564.txt
