cik,company_name,form_type,date_filed,edgar_url
1073362,"Occidental Development Group, Inc.",10-K,2013-09-13,edgar/data/1073362/0001052918-13-000389.txt
1073362,"Occidental Development Group, Inc.",NT 10-K,2013-08-29,edgar/data/1073362/0001052918-13-000376.txt
1074458,"Manasota Group, Inc.",10-K,2013-07-19,edgar/data/1074458/0001575872-13-000007.txt
1074871,BEAR LAKE RECREATION INC,10-K,2013-09-03,edgar/data/1074871/0001549632-13-000029.txt
1077638,SENSE TECHNOLOGIES INC,10-K,2013-07-25,edgar/data/1077638/0001185185-13-001514.txt
1077866,LOOKSMART LTD,10-K/A,2013-09-16,edgar/data/1077866/0001144204-13-051060.txt
1078037,"REMEDENT, INC.",10-K,2013-07-15,edgar/data/1078037/0001144204-13-039518.txt
1078271,EXTREME NETWORKS INC,10-K,2013-08-30,edgar/data/1078271/0001078271-13-000049.txt
1079282,"Bio-Matrix Scientific Group, Inc.",10-K/A,2013-07-31,edgar/data/1079282/0001554795-13-000418.txt
1079282,"Bio-Matrix Scientific Group, Inc.",10-K/A,2013-09-09,edgar/data/1079282/0001554795-13-000549.txt
1079297,"ProGreen Properties, Inc.",10-K,2013-08-13,edgar/data/1079297/0001213900-13-004185.txt
1079297,"ProGreen Properties, Inc.",NT 10-K,2013-07-26,edgar/data/1079297/0001213900-13-003790.txt
1080398,"Titan Energy Worldwide, Inc.",10-K/A,2013-08-07,edgar/data/1080398/0001213900-13-003999.txt
1080448,PATRIOT GOLD CORP,10-K,2013-08-29,edgar/data/1080448/0000939802-13-000141.txt
1080627,V Media Corp,10-K,2013-09-27,edgar/data/1080627/0001079973-13-000581.txt
1080747,GREENWAY MEDICAL TECHNOLOGIES INC,10-K,2013-09-13,edgar/data/1080747/0001188112-13-002704.txt
1081091,STUDIO II BRANDS INC,10-K,2013-07-01,edgar/data/1081091/0001137050-13-000204.txt
1082492,VADDA ENERGY CORP,10-K,2013-08-27,edgar/data/1082492/0001019687-13-003346.txt
1082506,"UNWIRED PLANET, INC.",10-K,2013-09-09,edgar/data/1082506/0001193125-13-361433.txt
1082510,UIL HOLDINGS CORP,10-K/A,2013-09-10,edgar/data/1082510/0001140361-13-035546.txt
1082510,UIL HOLDINGS CORP,10-K/A,2013-09-25,edgar/data/1082510/0001140361-13-036937.txt
1082733,"NuSTATE ENERGY HOLDINGS, INC.",NT 10-K,2013-09-30,edgar/data/1082733/0001437749-13-012461.txt
1083706,ENXNET INC,10-K,2013-07-01,edgar/data/1083706/0001002014-13-000279.txt
1083712,MEDIABISTRO INC.,10-K/A,2013-08-01,edgar/data/1083712/0001019687-13-002800.txt
1083743,"Flux Power Holdings, Inc.",NT 10-K,2013-09-30,edgar/data/1083743/0001144204-13-053058.txt
108385,WORLD ACCEPTANCE CORP,10-K/A,2013-07-19,edgar/data/108385/0000108385-13-000032.txt
108385,WORLD ACCEPTANCE CORP,NT 10-K/A,2013-07-03,edgar/data/108385/0000108385-13-000030.txt
1083922,"AuraSource, Inc.",10-K,2013-07-01,edgar/data/1083922/0001308411-13-000214.txt
1084597,XZERES Corp.,10-K,2013-08-05,edgar/data/1084597/0001255294-13-000616.txt
1084765,RESOURCES CONNECTION INC,10-K,2013-07-22,edgar/data/1084765/0001193125-13-297300.txt
1084869,1 800 FLOWERS COM INC,10-K,2013-09-13,edgar/data/1084869/0001104659-13-069833.txt
108516,WORTHINGTON INDUSTRIES INC,10-K,2013-07-30,edgar/data/108516/0001193125-13-310489.txt
1086670,BELLAVISTA CAPITAL INC,10-K,2013-07-18,edgar/data/1086670/0001354488-13-003959.txt
1086745,WPCS INTERNATIONAL INC,10-K,2013-07-29,edgar/data/1086745/0001144204-13-041652.txt
1087432,INTERMUNE INC,10-K/A,2013-07-05,edgar/data/1087432/0001193125-13-283837.txt
1088206,QUICK-MED TECHNOLOGIES INC,10-K,2013-09-30,edgar/data/1088206/0001140361-13-037204.txt
1088211,Inova Technology Inc.,10-K,2013-08-06,edgar/data/1088211/0001214659-13-004345.txt
1088211,Inova Technology Inc.,NT 10-K,2013-07-29,edgar/data/1088211/0001214659-13-004168.txt
1088312,UNI CORE HOLDINGS CORP,NT 10-K,2013-09-30,edgar/data/1088312/0001511164-13-000459.txt
1088413,"GREYSTONE LOGISTICS, INC.",10-K,2013-09-13,edgar/data/1088413/0001072613-13-000384.txt
1088413,"GREYSTONE LOGISTICS, INC.",NT 10-K,2013-08-30,edgar/data/1088413/0001072613-13-000370.txt
1089143,COLLECTORS UNIVERSE INC,10-K,2013-08-28,edgar/data/1089143/0001089143-13-000023.txt
1089319,"FREESTONE RESOURCES, INC.",10-K,2013-09-19,edgar/data/1089319/0001121781-13-000351.txt
1089907,SWK Holdings Corp,10-K/A,2013-07-25,edgar/data/1089907/0001437749-13-009377.txt
109156,ZALE CORP,10-K,2013-09-27,edgar/data/109156/0001047469-13-009367.txt
1091983,FOREVERGREEN WORLDWIDE CORP,10-K/A,2013-07-02,edgar/data/1091983/0001548123-13-000255.txt
1093248,"MEDINA INTERNATIONAL HOLDINGS, INC.",10-K/A,2013-09-06,edgar/data/1093248/0001072588-13-000100.txt
1093248,"MEDINA INTERNATIONAL HOLDINGS, INC.",10-K/A,2013-09-27,edgar/data/1093248/0001072588-13-000104.txt
1093248,"MEDINA INTERNATIONAL HOLDINGS, INC.",10-K,2013-08-13,edgar/data/1093248/0001072588-13-000093.txt
1093248,"MEDINA INTERNATIONAL HOLDINGS, INC.",NT 10-K,2013-07-29,edgar/data/1093248/0001072588-13-000085.txt
1094238,HARRIS INTERACTIVE INC,10-K,2013-09-17,edgar/data/1094238/0001193125-13-369160.txt
1095130,"ARKADOS GROUP, INC.",10-K,2013-08-30,edgar/data/1095130/0001144204-13-048758.txt
1095130,"ARKADOS GROUP, INC.",10-K,2013-09-19,edgar/data/1095130/0001144204-13-051603.txt
1095130,"ARKADOS GROUP, INC.",NT 10-K,2013-08-29,edgar/data/1095130/0001144204-13-048464.txt
109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,10-K,2013-08-20,edgar/data/109563/0000109563-13-000029.txt
1096555,"Myriad Interactive Media, Inc.",NT 10-K,2013-09-30,edgar/data/1096555/0001551163-13-000119.txt
1096637,SaviCorp,10-K,2013-09-20,edgar/data/1096637/0001019687-13-003647.txt
1099215,PROTALEX INC,10-K,2013-08-28,edgar/data/1099215/0001144204-13-048236.txt
1099290,"SINOCOKING COAL & COKE CHEMICAL INDUSTRIES, INC.",10-K,2013-09-30,edgar/data/1099290/0001144204-13-053088.txt
1099574,EASTGATE ACQUISITIONS CORP,10-K/A,2013-09-25,edgar/data/1099574/0001551163-13-000111.txt
1100412,ARRAY BIOPHARMA INC,10-K,2013-08-12,edgar/data/1100412/0001100412-13-000025.txt
1101396,"DELTA APPAREL, INC",10-K,2013-08-29,edgar/data/1101396/0001101396-13-000025.txt
1102432,"VIKING INVESTMENTS GROUP, INC.",10-K/A,2013-08-19,edgar/data/1102432/0001477932-13-003911.txt
1102432,"VIKING INVESTMENTS GROUP, INC.",10-K/A,2013-09-24,edgar/data/1102432/0001477932-13-004332.txt
1104280,SANGUI BIOTECH INTERNATIONAL INC,10-K,2013-09-27,edgar/data/1104280/0001551163-13-000116.txt
1106213,SEAFARER EXPLORATION CORP,10-K/A,2013-07-25,edgar/data/1106213/0001199835-13-000450.txt
110621,RPM INTERNATIONAL INC/DE/,10-K,2013-07-24,edgar/data/110621/0001193125-13-300693.txt
1109067,"MOVIE STUDIO, INC.",10-K,2013-07-08,edgar/data/1109067/0001109067-13-000007.txt
1109067,"MOVIE STUDIO, INC.",10-K,2013-09-11,edgar/data/1109067/0001570931-13-000029.txt
1110647,"OCLARO, INC.",10-K,2013-09-27,edgar/data/1110647/0001193125-13-380916.txt
1110647,"OCLARO, INC.",NT 10-K,2013-09-13,edgar/data/1110647/0001193125-13-366672.txt
1112706,CANYON COPPER CORP.,10-K,2013-09-30,edgar/data/1112706/0001062993-13-004825.txt
1114925,LANTRONIX INC,10-K,2013-08-29,edgar/data/1114925/0001019687-13-003371.txt
1116112,US FUEL CORP,10-K/A,2013-08-27,edgar/data/1116112/0001144204-13-048057.txt
1116112,US FUEL CORP,10-K,2013-08-02,edgar/data/1116112/0001144204-13-042758.txt
1116112,US FUEL CORP,10-K,2013-08-23,edgar/data/1116112/0001144204-13-047620.txt
1116132,COACH INC,10-K,2013-08-22,edgar/data/1116132/0001144204-13-047469.txt
1117045,"Trycera Financial, Inc.",10-K,2013-08-07,edgar/data/1117045/0001185185-13-001577.txt
1117228,MASS MEGAWATTS WIND POWER INC,10-K,2013-08-09,edgar/data/1117228/0001354488-13-004268.txt
1117228,MASS MEGAWATTS WIND POWER INC,NT 10-K,2013-07-29,edgar/data/1117228/0001354488-13-004122.txt
1117297,"QUINSTREET, INC",10-K,2013-08-20,edgar/data/1117297/0001193125-13-340993.txt
1118974,"30DC, INC.",NT 10-K,2013-09-27,edgar/data/1118974/0001065949-13-000129.txt
1122020,PCS EDVENTURES COM INC,10-K,2013-07-02,edgar/data/1122020/0001010412-13-000182.txt
1122020,PCS EDVENTURES COM INC,NT 10-K,2013-07-02,edgar/data/1122020/0001010412-13-000179.txt
1123360,GLOBAL PAYMENTS INC,10-K,2013-07-25,edgar/data/1123360/0001123360-13-000025.txt
1125053,"InterAmerican Gaming, Inc.",10-K,2013-07-16,edgar/data/1125053/0001354488-13-003926.txt
1125280,"Intellicell Biosciences, Inc.",10-K,2013-09-16,edgar/data/1125280/0001013762-13-001225.txt
1126115,"LZG INTERNATIONAL, INC.",10-K,2013-08-26,edgar/data/1126115/0001477932-13-004016.txt
1126162,Global Biotech Corp.,10-K,2013-08-14,edgar/data/1126162/0000721748-13-000473.txt
1126162,Global Biotech Corp.,10-K,2013-08-27,edgar/data/1126162/0000721748-13-000563.txt
1126703,Shoshone Silver/Gold Mining Co,10-K/A,2013-08-30,edgar/data/1126703/0001002014-13-000392.txt
1126703,Shoshone Silver/Gold Mining Co,10-K/A,2013-09-20,edgar/data/1126703/0001002014-13-000414.txt
1128250,BA Credit Card Trust,10-K,2013-09-30,edgar/data/1128250/0001370238-13-000030.txt
1128383,NEVADA CLASSIC THOROUGHBREDS INC,10-K,2013-09-30,edgar/data/1128383/0001128383-13-000008.txt
1129018,"GOLD HILLS MINING, LTD.",NT 10-K,2013-09-30,edgar/data/1129018/0001294606-13-000239.txt
1129048,"AnythingIT, Inc.",10-K,2013-09-23,edgar/data/1129048/0001354488-13-005381.txt
1130464,BLACK HILLS CORP /SD/,10-K/A,2013-08-30,edgar/data/1130464/0001130464-13-000186.txt
1133901,Morris Business Development Co,10-K,2013-07-15,edgar/data/1133901/0001493152-13-001327.txt
1133901,Morris Business Development Co,NT 10-K,2013-07-01,edgar/data/1133901/0001493152-13-001280.txt
1134982,PREVENTION INSURANCE COM INC,10-K,2013-08-02,edgar/data/1134982/0001213900-13-003911.txt
1134982,PREVENTION INSURANCE COM INC,NT 10-K,2013-07-30,edgar/data/1134982/0001213900-13-003851.txt
1137005,"Healthient, Inc.",10-K,2013-09-30,edgar/data/1137005/0001524829-13-000160.txt
1137083,"L & L ENERGY, INC.",10-K/A,2013-08-09,edgar/data/1137083/0001137083-13-000036.txt
1137083,"L & L ENERGY, INC.",10-K,2013-07-30,edgar/data/1137083/0001137083-13-000025.txt
1137083,"L & L ENERGY, INC.",NT 10-K,2013-07-16,edgar/data/1137083/0001137083-13-000020.txt
1137789,Seagate Technology plc,10-K,2013-08-08,edgar/data/1137789/0001047469-13-008213.txt
1137855,PACIFIC GOLD CORP,10-K/A,2013-07-26,edgar/data/1137855/0001515971-13-000330.txt
1137855,PACIFIC GOLD CORP,10-K/A,2013-08-01,edgar/data/1137855/0001515971-13-000339.txt
1138723,ACCURAY INC,10-K,2013-08-29,edgar/data/1138723/0001047469-13-008757.txt
1140215,REEDS INC,10-K/A,2013-08-20,edgar/data/1140215/0001019687-13-003270.txt
1140310,ZBB ENERGY CORP,10-K/A,2013-09-30,edgar/data/1140310/0001102624-13-001177.txt
1140310,ZBB ENERGY CORP,10-K,2013-09-27,edgar/data/1140310/0001199073-13-000663.txt
1141788,HEALTH DISCOVERY CORP,10-K/A,2013-07-19,edgar/data/1141788/0001188112-13-002014.txt
1142790,"TAURIGA SCIENCES, INC.",10-K,2013-07-12,edgar/data/1142790/0001354488-13-003886.txt
1142790,"TAURIGA SCIENCES, INC.",NT 10-K,2013-07-02,edgar/data/1142790/0001354488-13-003742.txt
1157075,"NUVILEX, INC.",10-K/A,2013-07-30,edgar/data/1157075/0001157075-13-000012.txt
1157075,"NUVILEX, INC.",10-K,2013-07-29,edgar/data/1157075/0001157075-13-000010.txt
